employee_id,manager_id,role_name,current_salary,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Market_Median_2026,Internal_Salary_Rank,Performance_Consistency
EMP0052,EMP0001,Research_Scientist_Austin,94000,2,1186,1,10,3,4,42,3,1,5,2,23423,8,1,22,4,1,38,1,17,10,6,120000,0.49,3
EMP0053,EMP0001,Manufacturing_Director_Atlanta,124000,1,1071,1,3,2,1,85,1,4,4,2,20325,0,1,20,4,1,7,5,5,3,2,130000,0.39,2
EMP0054,EMP0001,Sales_Representative_Atlanta,86000,1,1283,2,17,2,4,58,4,2,8,2,14138,1,1,23,3,0,4,3,2,2,1,70000,0.32,4
EMP0055,EMP0001,Business_Analyst_Seattle,113000,1,112,1,6,4,3,81,1,2,2,0,19476,3,1,17,3,0,18,2,0,0,0,105000,0.44,3
EMP0056,EMP0001,Sales_Representative_Austin,87000,1,657,2,15,4,4,86,3,1,8,2,5823,5,1,17,3,1,10,4,2,2,0,70000,0.32,3
EMP0057,EMP0001,Sales_Executive_Seattle,90000,2,692,2,11,2,4,85,2,3,7,2,9634,8,1,19,3,2,4,0,0,0,0,110000,0.85,3
EMP0058,EMP0001,Software_Developer_Atlanta,97000,1,1411,1,14,3,2,71,2,3,7,1,24691,5,1,12,3,0,5,3,2,2,1,155000,0.37,3
EMP0059,EMP0001,Business_Analyst_Austin,101000,1,1186,1,17,2,5,74,3,2,2,1,6892,4,1,14,3,0,20,6,10,3,5,105000,0.52,3
EMP0060,EMP0001,Research_Scientist_Miami,117000,2,1256,1,21,4,4,70,2,1,5,1,22783,4,1,23,3,0,37,4,24,14,10,120000,0.41,2
EMP0061,EMP0001,Manufacturing_Director_Miami,98000,1,1235,1,26,4,1,54,2,4,4,1,4121,7,1,12,3,2,24,5,9,1,1,130000,0.3,2
EMP0062,EMP0001,Research_Scientist_Seattle,102000,1,845,1,12,5,2,73,3,1,5,2,23304,5,1,12,3,1,29,3,14,8,8,120000,0.33,3
EMP0063,EMP0001,Research_Scientist_Denver,91000,1,273,1,10,3,4,72,4,3,5,2,26302,8,1,12,3,1,10,2,5,2,5,120000,0.43,1
EMP0064,EMP0001,Sales_Executive_NYC,142000,2,417,2,3,3,5,94,3,2,7,2,22345,2,1,20,3,0,22,6,15,6,3,110000,0.29,3
EMP0065,EMP0001,Research_Scientist_Miami,88000,2,579,1,18,2,6,90,4,1,5,1,20785,7,1,18,3,2,24,4,21,7,7,120000,0.22,3
EMP0066,EMP0001,Research_Scientist_Chicago,141000,2,1235,1,4,4,3,45,2,1,5,1,18915,2,1,24,3,3,9,1,4,0,3,120000,0.26,4
EMP0067,EMP0001,Sales_Representative_Seattle,67000,1,752,2,4,4,4,48,2,2,8,2,17575,2,1,23,3,1,26,0,16,11,3,70000,0.43,4
EMP0068,EMP0001,Software_Developer_Boston,115000,1,690,1,8,3,1,83,3,3,7,1,5726,7,1,20,3,1,10,4,8,8,6,155000,0.56,2
EMP0069,EMP0001,Research_Scientist_Boston,115000,2,238,1,17,3,5,94,3,2,5,2,3520,6,1,16,3,0,23,6,7,6,2,120000,0.45,2
EMP0070,EMP0001,Laboratory_Technician_Austin,90000,1,1416,1,6,4,4,91,3,1,2,0,17091,0,1,15,3,2,22,0,4,0,2,75000,0.42,3
EMP0071,EMP0001,Sales_Executive_Atlanta,144000,1,197,2,28,4,2,77,3,3,7,2,14763,5,1,13,3,1,35,6,15,8,0,110000,0.5,3
EMP0072,EMP0001,Data_Scientist_Atlanta,122000,1,771,1,22,3,2,84,2,3,6,1,3481,5,1,20,4,0,12,6,8,4,5,170000,0.36,4
EMP0073,EMP0001,Data_Scientist_Atlanta,148000,2,850,1,12,3,3,49,3,3,6,1,4613,9,1,13,3,0,11,5,0,0,0,170000,0.58,3
EMP0074,EMP0001,Data_Scientist_Seattle,181000,1,636,1,25,3,2,66,3,3,6,1,6541,1,1,18,3,1,32,0,16,12,14,170000,0.52,4
EMP0075,EMP0001,Sales_Representative_Denver,80000,1,1406,2,6,4,4,45,4,1,8,1,18282,0,1,16,3,0,36,6,17,9,14,70000,0.46,4
EMP0076,EMP0001,Research_Scientist_Austin,90000,1,938,1,27,3,1,70,3,2,5,1,19046,5,1,13,4,2,26,5,22,15,8,120000,0.62,3
EMP0077,EMP0001,Research_Scientist_Atlanta,120000,1,808,1,17,4,5,62,2,3,5,1,22574,4,1,20,3,1,4,1,0,0,0,120000,0.6,3
EMP0078,EMP0001,Research_Scientist_NYC,131000,2,266,1,2,5,5,63,3,3,5,1,23032,0,1,18,4,1,22,5,18,1,13,120000,0.67,4
EMP0079,EMP0002,Manufacturing_Director_Chicago,151000,1,1051,1,7,3,1,70,3,4,4,2,6378,5,1,19,3,0,26,3,9,7,1,130000,0.45,2
EMP0080,EMP0002,Manufacturing_Director_Chicago,105000,1,427,1,27,3,3,70,2,3,4,1,18960,7,1,18,4,1,4,0,2,1,2,130000,0.38,4
EMP0081,EMP0002,Business_Analyst_Miami,133000,2,1439,1,22,3,3,43,3,3,2,2,15307,5,1,11,3,1,14,1,9,5,0,105000,0.74,3
EMP0082,EMP0002,Sales_Executive_Austin,102000,2,1493,2,20,2,6,80,3,3,7,2,14074,2,1,14,3,1,29,0,24,8,13,110000,0.58,1
EMP0083,EMP0002,Research_Scientist_Denver,141000,2,752,1,6,3,4,68,3,3,5,2,19537,7,1,22,3,1,34,0,14,2,9,120000,0.59,3
EMP0084,EMP0002,Data_Scientist_Atlanta,168000,2,1284,1,19,2,1,91,2,4,6,2,14552,2,1,24,3,0,2,5,2,1,1,170000,0.42,2
EMP0085,EMP0002,Software_Developer_Miami,125000,2,227,1,23,2,1,71,4,2,7,2,12375,2,1,18,4,0,10,2,6,5,1,155000,0.18,3
EMP0086,EMP0002,Sales_Executive_Miami,88000,1,709,2,25,3,2,92,2,3,7,2,25741,4,1,15,3,1,16,3,8,8,4,110000,0.7,4
EMP0087,EMP0002,Healthcare_Representative_Denver,113000,2,1443,1,9,4,1,98,2,2,0,0,22268,9,1,14,3,1,10,4,4,0,2,85000,0.59,2
EMP0088,EMP0002,Laboratory_Technician_Seattle,60000,1,381,1,1,5,6,50,3,2,2,1,8629,4,1,16,3,0,22,6,22,15,1,75000,0.48,2
EMP0089,EMP0002,Laboratory_Technician_Seattle,96000,2,1114,1,6,5,6,67,4,1,2,1,21845,1,1,25,4,0,12,5,6,6,1,75000,0.55,3
EMP0090,EMP0002,Manufacturing_Director_NYC,155000,1,1039,1,21,2,1,73,3,3,4,0,23023,6,1,24,3,0,30,3,8,3,1,130000,0.48,3
EMP0091,EMP0002,Research_Scientist_NYC,118000,2,718,1,19,4,1,76,3,1,5,2,17344,4,1,13,3,1,16,5,0,0,0,120000,0.53,3
EMP0092,EMP0002,Data_Scientist_Boston,148000,1,1340,1,12,3,3,90,3,4,6,2,10202,9,1,24,3,1,15,4,7,2,7,170000,0.87,3
EMP0093,EMP0002,Data_Scientist_Austin,121000,2,1004,1,4,4,5,92,1,4,6,1,3917,7,1,13,3,1,36,0,28,6,9,170000,0.37,3
EMP0094,EMP0002,Sales_Executive_Seattle,103000,1,230,2,18,5,5,38,4,3,7,0,15491,2,1,23,3,1,1,5,0,0,0,110000,0.47,3
EMP0095,EMP0002,Healthcare_Representative_Denver,115000,1,1455,1,28,3,4,74,2,2,0,2,25944,3,1,24,3,0,25,2,14,13,14,85000,0.68,3
EMP0096,EMP0002,Business_Analyst_Atlanta,108000,1,486,1,29,4,1,83,3,2,2,1,4298,1,1,20,3,1,15,5,7,7,5,105000,0.38,4
EMP0097,EMP0002,Laboratory_Technician_Seattle,73000,2,579,1,27,5,3,71,2,1,2,2,19174,3,1,17,3,0,15,4,6,6,6,75000,0.52,4
EMP0098,EMP0002,Research_Scientist_Atlanta,124000,1,1174,1,11,4,2,68,3,3,5,1,9478,4,1,24,3,2,4,0,2,2,2,120000,0.38,3
EMP0099,EMP0002,Healthcare_Representative_NYC,81000,1,1196,1,24,4,1,78,3,1,0,2,8259,9,1,22,3,0,17,1,6,2,5,85000,0.71,4
EMP0100,EMP0002,Sales_Representative_Boston,90000,1,1080,2,8,4,4,80,4,2,8,2,14567,7,1,19,3,0,1,2,0,0,0,70000,0.61,3
EMP0101,EMP0002,Manufacturing_Director_Miami,102000,0,553,1,24,2,1,83,2,3,4,1,14540,9,1,24,3,1,31,5,24,10,14,130000,0.56,3
EMP0102,EMP0002,Manufacturing_Director_Miami,127000,1,476,1,29,3,4,37,3,3,4,2,23990,0,1,23,3,0,23,5,5,1,5,130000,0.68,2
EMP0103,EMP0002,Research_Scientist_Seattle,100000,2,1450,1,16,1,3,82,1,3,5,2,19649,4,1,11,3,1,30,3,11,0,9,120000,0.17,4
EMP0104,EMP0002,Research_Scientist_Austin,149000,1,616,1,27,3,5,40,3,2,5,1,10063,3,1,15,3,2,34,5,4,1,1,120000,0.11,4
EMP0105,EMP0002,Software_Developer_Austin,134000,0,988,1,21,4,3,42,4,1,7,1,24778,9,1,18,3,3,25,5,17,15,0,155000,0.28,4
EMP0106,EMP0002,Business_Analyst_Seattle,88000,2,915,1,3,3,3,79,3,3,2,1,26333,2,1,23,4,1,21,4,0,0,0,105000,0.24,3
EMP0107,EMP0002,Sales_Representative_Seattle,54000,1,768,2,1,4,5,87,3,2,8,2,14395,6,1,13,3,1,15,0,2,1,2,70000,0.57,3
EMP0108,EMP0002,Sales_Executive_Chicago,125000,1,1398,2,5,4,2,43,1,3,7,1,10933,1,1,13,3,1,6,4,2,0,1,110000,0.0,3
EMP0109,EMP0002,Healthcare_Representative_Austin,61000,1,697,1,14,3,1,61,3,1,0,2,7648,2,1,15,3,1,23,0,17,2,9,85000,0.34,2
EMP0110,EMP0002,Sales_Executive_Atlanta,96000,1,1115,2,20,3,4,47,2,3,7,1,22416,6,1,23,4,1,5,3,2,1,0,110000,0.39,4
EMP0111,EMP0002,Research_Scientist_Boston,107000,1,1396,1,16,5,5,71,3,2,5,1,20570,3,1,20,4,0,13,6,7,5,2,120000,1.0,3
EMP0112,EMP0002,Manufacturing_Director_Chicago,126000,1,1397,1,10,2,4,84,3,3,4,1,21687,7,1,20,3,1,19,6,2,1,2,130000,0.37,3
EMP0113,EMP0002,Business_Analyst_Seattle,123000,1,1425,1,20,1,6,81,4,3,2,2,16199,1,1,11,3,0,24,5,22,2,1,105000,0.54,3
EMP0114,EMP0002,Laboratory_Technician_Miami,72000,2,1088,1,4,3,5,40,2,1,2,1,13335,7,1,23,3,1,30,3,24,4,5,75000,0.18,2
EMP0115,EMP0002,Manufacturing_Director_Denver,100000,1,599,1,17,2,1,84,4,3,4,2,22729,2,1,13,3,1,3,0,0,0,0,130000,0.3,3
EMP0116,EMP0002,Laboratory_Technician_Miami,82000,1,228,1,19,2,5,53,3,1,2,1,10690,7,1,19,4,0,25,3,0,0,0,75000,0.23,3
EMP0117,EMP0002,Data_Scientist_Denver,147000,2,1308,1,3,4,2,60,2,2,6,1,6726,8,1,17,3,0,30,3,19,5,13,170000,0.32,3
EMP0118,EMP0002,Manufacturing_Director_NYC,134000,1,1023,1,20,1,2,31,3,3,4,2,20495,8,1,21,3,1,32,3,9,2,2,130000,0.15,3
EMP0119,EMP0002,Manufacturing_Director_Miami,107000,1,1036,1,19,4,5,100,3,3,4,1,19890,5,1,19,3,0,37,5,0,0,0,130000,0.65,3
EMP0120,EMP0002,Laboratory_Technician_Atlanta,60000,1,278,1,15,4,1,60,2,2,2,2,22091,6,1,13,3,2,16,6,9,0,7,75000,0.53,2
EMP0121,EMP0002,Software_Developer_Denver,146000,2,1153,1,29,4,1,82,4,2,7,2,6251,2,1,14,3,0,35,1,5,2,5,155000,0.42,3
EMP0122,EMP0002,Healthcare_Representative_Miami,68000,0,290,1,13,3,1,77,3,2,0,1,2175,1,1,22,4,1,18,5,13,6,7,85000,0.78,3
EMP0123,EMP0002,Data_Scientist_Atlanta,135000,1,1283,1,5,3,3,73,4,2,6,0,22612,7,1,11,3,2,28,3,26,6,7,170000,0.45,3
EMP0124,EMP0002,Healthcare_Representative_Chicago,115000,0,838,1,9,2,4,51,1,2,0,2,26841,3,1,17,3,1,9,0,4,1,2,85000,0.91,2
EMP0125,EMP0002,Data_Scientist_NYC,168000,1,964,1,23,2,1,79,1,2,6,0,14138,4,1,13,3,2,34,6,21,14,0,170000,0.7,2
EMP0126,EMP0002,Research_Scientist_Austin,122000,1,1386,1,24,2,2,86,4,1,5,2,6681,1,1,20,3,0,1,3,0,0,0,120000,0.51,3
EMP0127,EMP0002,Research_Scientist_Chicago,104000,1,1160,1,20,3,5,67,3,1,5,1,5788,3,1,18,3,0,6,0,1,1,0,120000,0.69,4
EMP0128,EMP0002,Sales_Representative_NYC,66000,1,1064,2,25,1,4,31,2,1,8,2,15134,8,1,15,3,1,37,3,13,5,8,70000,0.24,3
EMP0129,EMP0002,Healthcare_Representative_Austin,95000,2,418,1,18,3,3,38,2,2,0,2,9913,0,1,14,3,1,35,3,19,4,4,85000,0.58,3
EMP0130,EMP0002,Software_Developer_Boston,158000,1,435,1,16,5,3,63,2,1,7,2,10900,1,1,23,4,0,12,3,1,0,0,155000,0.54,3
EMP0131,EMP0002,Data_Scientist_Boston,179000,1,1260,1,6,3,1,43,4,4,6,2,9578,8,1,11,3,2,37,1,20,2,7,170000,0.3,1
EMP0132,EMP0002,Sales_Representative_Atlanta,89000,1,952,2,24,3,5,77,2,1,8,0,18994,0,1,17,3,1,12,2,0,0,0,70000,0.56,3
EMP0133,EMP0002,Sales_Executive_Denver,81000,1,596,2,15,3,6,55,3,2,7,0,15530,0,1,14,3,1,30,5,0,0,0,110000,0.4,4
EMP0134,EMP0002,Sales_Representative_Seattle,82000,1,587,2,14,3,1,48,3,1,8,0,9678,8,1,17,3,0,25,5,23,9,1,70000,0.87,2
EMP0135,EMP0002,Data_Scientist_NYC,172000,1,697,1,9,4,5,80,3,4,6,1,16929,4,1,14,3,0,26,6,2,2,2,170000,0.8,3
EMP0136,EMP0002,Data_Scientist_NYC,125000,1,833,1,25,2,2,63,4,2,6,0,24574,4,1,24,3,1,29,1,14,5,6,170000,0.62,4
EMP0137,EMP0002,Sales_Representative_NYC,54000,2,456,2,1,5,5,100,2,2,8,0,6674,1,1,11,3,2,16,1,11,6,8,70000,0.68,2
EMP0138,EMP0002,Healthcare_Representative_Denver,98000,2,253,1,1,5,1,86,4,1,0,2,12958,1,1,11,4,0,6,4,4,4,2,85000,0.56,3
EMP0139,EMP0002,Healthcare_Representative_Miami,62000,1,404,1,2,3,4,67,3,2,0,0,11261,6,1,13,3,1,28,6,5,2,1,85000,0.65,3
EMP0140,EMP0002,Business_Analyst_Seattle,134000,2,1128,1,11,3,1,70,3,2,2,2,11299,0,1,23,4,1,23,6,15,15,5,105000,0.4,3
EMP0141,EMP0002,Laboratory_Technician_NYC,60000,1,895,1,12,5,6,52,2,2,2,2,24953,5,1,25,3,1,16,2,8,8,0,75000,0.55,4
EMP0142,EMP0002,Research_Scientist_Chicago,144000,1,284,1,2,2,1,97,3,2,5,2,8695,2,1,16,3,3,32,6,17,9,2,120000,0.0,4
EMP0143,EMP0002,Software_Developer_Seattle,109000,1,306,1,11,3,1,50,3,2,7,2,18058,5,1,13,3,1,10,4,1,1,0,155000,0.13,3
EMP0144,EMP0002,Laboratory_Technician_NYC,72000,2,1273,1,13,4,5,34,2,2,2,2,22127,3,1,21,3,3,19,1,4,1,0,75000,0.87,3
EMP0145,EMP0002,Data_Scientist_Chicago,146000,1,787,1,15,1,1,38,3,2,6,2,3671,6,1,18,3,3,21,3,5,5,0,170000,0.64,3
EMP0146,EMP0002,Healthcare_Representative_Denver,90000,1,168,1,10,1,1,43,1,1,0,2,7366,1,1,19,4,3,7,2,7,3,2,85000,0.21,3
EMP0147,EMP0002,Manufacturing_Director_Seattle,125000,2,938,1,23,3,5,99,2,4,4,1,5236,0,1,17,3,2,11,1,9,6,2,130000,0.69,2
EMP0148,EMP0003,Software_Developer_Atlanta,103000,1,1407,1,10,5,3,44,2,2,7,1,23754,4,1,12,3,0,31,2,6,0,0,155000,0.57,4
EMP0149,EMP0003,Sales_Representative_NYC,69000,0,1466,2,4,2,2,99,3,1,8,2,14778,8,1,17,4,1,17,3,14,7,4,70000,0.53,3
EMP0150,EMP0003,Laboratory_Technician_Miami,68000,1,1158,1,26,3,6,48,2,2,2,0,7571,3,1,23,3,0,26,0,22,1,8,75000,0.67,4
EMP0151,EMP0003,Healthcare_Representative_Chicago,115000,0,894,1,18,3,2,65,3,1,0,2,22510,9,1,19,3,0,10,1,9,4,5,85000,0.91,2
EMP0152,EMP0003,Data_Scientist_Austin,166000,2,640,1,13,4,3,90,1,3,6,1,22352,9,1,21,3,0,7,2,4,4,2,170000,0.24,3
EMP0153,EMP0003,Software_Developer_Miami,182000,2,301,1,28,2,2,86,3,2,7,1,15750,9,1,21,3,1,24,6,0,0,0,155000,0.34,3
EMP0154,EMP0003,Manufacturing_Director_Denver,152000,1,1137,1,13,2,5,33,2,3,4,2,10269,0,1,18,3,0,33,1,25,5,1,130000,0.89,3
EMP0155,EMP0003,Manufacturing_Director_Atlanta,139000,2,1071,1,19,3,2,63,3,3,4,1,14760,0,1,13,4,2,8,1,0,0,0,130000,0.26,4
EMP0156,EMP0003,Laboratory_Technician_Chicago,67000,2,1497,1,1,3,1,52,3,1,2,1,22028,4,1,22,4,1,27,3,16,0,13,75000,0.52,4
EMP0157,EMP0003,Sales_Representative_Miami,61000,1,1456,2,27,4,4,66,2,1,8,1,13113,4,1,21,3,0,30,5,9,8,9,70000,0.42,3
EMP0158,EMP0003,Sales_Executive_Chicago,85000,1,152,2,21,3,2,83,3,2,7,2,20838,3,1,16,3,0,16,4,1,1,1,110000,0.56,3
EMP0159,EMP0003,Manufacturing_Director_Denver,131000,1,1244,1,25,5,5,72,3,3,4,1,26480,4,1,17,3,0,11,2,10,8,2,130000,0.43,3
EMP0160,EMP0003,Manufacturing_Director_Austin,128000,2,1124,1,4,4,2,68,3,3,4,0,8657,5,1,17,4,2,38,3,18,2,7,130000,0.74,2
EMP0161,EMP0003,Research_Scientist_Austin,119000,2,445,1,19,4,3,41,2,2,5,2,15312,6,1,18,3,0,12,1,5,5,0,120000,0.68,3
EMP0162,EMP0003,Software_Developer_Denver,167000,0,609,1,8,4,2,46,2,3,7,2,7566,1,1,24,3,3,34,3,6,0,5,155000,0.51,3
EMP0163,EMP0003,Business_Analyst_Denver,103000,2,926,1,1,2,5,46,2,2,2,2,7631,1,1,16,3,2,9,3,5,3,2,105000,0.5,4
EMP0164,EMP0003,Sales_Executive_Seattle,117000,1,953,2,15,3,4,90,3,2,7,2,22748,0,1,15,3,0,4,4,0,0,0,110000,0.37,3
